scenario_id,scenario_title,order,speaker,native,target
restaurant,在餐廳吃飯,1,other,歡迎光臨，請問幾位？,いらっしゃいませ。何名様ですか。
restaurant,在餐廳吃飯,2,you,兩位。,二人です。
restaurant,在餐廳吃飯,3,other,有預約嗎？,ご予約はされていますか。
restaurant,在餐廳吃飯,4,you,沒有，現在還有位子嗎？,いいえ、今空いてる席ありますか。
restaurant,在餐廳吃飯,5,other,有，請往這邊。,はい、こちらへどうぞ。
restaurant,在餐廳吃飯,6,you,不好意思，可以給我菜單嗎？,すみません、メニューをいただけますか。
restaurant,在餐廳吃飯,7,other,這是菜單，今天的推薦是這個。,こちらメニューです。今日のおすすめはこちらになります。
restaurant,在餐廳吃飯,8,you,那我點這個，還有一杯生啤酒。,じゃあ、これと、あと生ビール一杯お願いします。
restaurant,在餐廳吃飯,9,other,好的，請稍等。,かしこまりました。少々お待ちください。
restaurant,在餐廳吃飯,10,you,不好意思，可以幫我加點水嗎？,すみません、お水のおかわりお願いします。
restaurant,在餐廳吃飯,11,you,不好意思，買單。,すみません、お会計お願いします。
restaurant,在餐廳吃飯,12,other,謝謝光臨。,ありがとうございました。
